alpha,G,gate,beta,recall,complete,cands,p95
0.0,1,false,0.5,0.6118806914647322,0.29975603719548843,2.5252666666666665,6.0
0.8,1,false,0.5,0.6120350362710295,0.29961460948272817,2.5256,6.0
0.9,3,true,0.0,0.6602870813397129,0.3418307817416823,2.5383333333333336,5.0
0.9,5,true,0.0,0.6610395122704121,0.3425025633772938,2.543066666666667,5.0
0.9,99,true,0.0,0.6611456243247414,0.3425732772336739,2.5453333333333332,5.0
0.9,2,false,0.0,0.656891495601173,0.33734045186154227,2.5657666666666668,5.0
0.9,2,true,0.25,0.6617437104491434,0.3451543329915497,2.579466666666667,5.0
0.9,3,false,0.0,0.6613482018830067,0.34253792030548386,2.5892333333333335,5.0
0.9,5,false,0.0,0.6620909862633122,0.34320970194109535,2.5948,5.0
0.9,99,false,0.0,0.6621970983176416,0.34328041579747554,2.5976333333333335,5.0
0.9,3,true,0.25,0.6662775891341256,0.35024573065092107,2.6025666666666667,6.0
0.9,5,true,0.25,0.667001080413644,0.3509882261429127,2.6082666666666667,6.0
0.9,99,true,0.25,0.667116839018367,0.3510589399992929,2.6121333333333334,6.0
0.9,2,false,0.25,0.6626504861861399,0.34557861612983065,2.6291333333333333,5.0
0.9,3,false,0.25,0.6672711838246643,0.3509882261429127,2.6543666666666668,6.0
0.9,5,false,0.25,0.6680525544065442,0.35169536470671425,2.6614666666666666,6.0
0.9,99,false,0.25,0.6681779595616607,0.35176607856309444,2.6665666666666668,6.0
0.8,2,true,0.0,0.691397206359006,0.37496022345578617,2.7022666666666666,6.0
0.9,2,true,0.5,0.6629977620003087,0.3466746809037231,2.7270666666666665,6.0
0.9,3,true,0.5,0.6675316406852909,0.35201357706042496,2.7527333333333335,6.0
0.9,5,true,0.5,0.6682551319648093,0.3526853586960365,2.7600666666666664,6.0
0.8,2,false,0.0,0.6927380768637136,0.37580878973234805,2.7638666666666665,6.0
0.9,99,true,0.5,0.668399830220713,0.35275607255241664,2.7650333333333332,6.0
0.8,3,true,0.0,0.7039666615218398,0.3910829827104621,2.765633333333333,6.0
0.8,2,true,0.25,0.6976288779132582,0.38404695400063643,2.769066666666667,6.0
0.8,5,true,0.0,0.7061564284611823,0.3937701092529081,2.7785333333333333,6.0
0.9,2,false,0.5,0.6641167618459639,0.34741717639571473,2.7791,6.0
0.8,99,true,0.0,0.706551937027319,0.3941236785348089,2.7859,6.0
0.9,3,false,0.5,0.6686409939805525,0.3528267864087968,2.807366666666667,6.0
0.9,5,false,0.5,0.6693355456088903,0.35342785418802813,2.8159,6.0
0.9,99,false,0.5,0.6694705973144004,0.3534985680444083,2.8225333333333333,6.0
0.8,3,false,0.0,0.7052978854761537,0.3921436905561645,2.832133333333333,6.0
0.8,2,false,0.25,0.6988636363636364,0.3849662341335785,2.832533333333333,6.0
0.8,3,true,0.25,0.7104780830375058,0.40084149489092386,2.8367,6.0
0.8,5,false,0.0,0.7075262386170705,0.3949722448113708,2.8474666666666666,6.0
0.8,5,true,0.25,0.7126967896280291,0.40356397836155994,2.8526,6.0
0.8,99,false,0.0,0.7079410402839944,0.39532581409327155,2.8569333333333335,6.0
0.8,99,true,0.25,0.7131501774965272,0.4039882614998409,2.8649666666666667,6.0
0.7,2,true,0.0,0.7235973915727736,0.41590354629989745,2.9008333333333334,6.0
0.8,3,false,0.25,0.7118093069918198,0.4021850581621469,2.9050333333333334,6.0
0.8,5,false,0.25,0.714095539435098,0.40476611392002265,2.9241333333333333,6.0
0.8,2,true,0.5,0.6992494983793796,0.3862390835484213,2.9287,6.0
0.8,99,false,0.25,0.7145489273035962,0.40519039705830356,2.9404333333333335,6.0
0.7,2,true,0.25,0.7300509337860781,0.42629848318778063,2.969866666666667,6.0
0.8,2,false,0.5,0.7001466275659824,0.386557295902132,2.9929,6.0
0.7,2,false,0.0,0.7255942275042445,0.41777746349397166,2.9951333333333334,6.0
0.8,3,true,0.5,0.7118961259453619,0.40289219672594845,3.002066666666667,6.0
0.8,5,true,0.5,0.7141341256366723,0.4055086094120143,3.0211333333333332,6.0
0.7,3,true,0.0,0.7498649482944899,0.4541597426015628,3.035066666666667,6.0
0.8,99,true,0.5,0.714645392807532,0.4060036064066754,3.0372,6.0
0.7,5,true,0.0,0.7546978700416731,0.4613018420959587,3.0641333333333334,6.0
0.7,2,false,0.25,0.7321635283222719,0.4278895449563342,3.067066666666667,6.0
0.8,3,false,0.5,0.7132852292020373,0.40395290457165084,3.0740333333333334,6.0
0.5,2,true,0.0,0.752430930699182,0.45635187214934764,3.0843333333333334,6.0
0.7,99,true,0.0,0.7560676801975613,0.4627161192235619,3.0848,6.0
0.8,5,false,0.5,0.7155039357925606,0.40674610189866706,3.0975,6.0
0.7,3,true,0.25,0.7564824818644853,0.4646961072022063,3.1118,6.0
0.8,99,false,0.5,0.7160537891649946,0.40724109889332816,3.1177,6.0
0.7,2,true,0.5,0.731266399135669,0.42714704946434257,3.1390333333333333,6.0
0.7,3,false,0.0,0.75169779286927,0.45582151822649647,3.145033333333333,6.0
0.7,5,true,0.25,0.7616337397746565,0.472191775978503,3.1465,6.0
0.5,2,true,0.25,0.7592606883778361,0.4673125198882721,3.161033333333333,6.0
0.0,2,true,0.0,0.7622414724494521,0.47533854258742003,3.1736666666666666,6.0
0.7,5,false,0.0,0.7568008180274733,0.46374147014107414,3.1778666666666666,6.0
0.7,99,true,0.25,0.7631964809384164,0.4737474808188665,3.1807,6.0
0.7,99,false,0.0,0.7582092143849359,0.4651557472686773,3.2043,6.0
0.7,3,false,0.25,0.7583828522920204,0.46671145210904075,3.2241,6.0
0.5,2,false,0.0,0.7546303441889181,0.4576247215641905,3.2269,6.0
0.7,2,false,0.5,0.73326323506714,0.42940989286850756,3.2381,6.0
