country,K,word_recall,embed_recall,union_recall,word_complete,union_complete,added_cands_per_S1,word_cands_per_S1,noaddr_word,noaddr_union,indic_word,indic_union,rescued_share_of_word_misses
India,5,0.9796163904107545,0.8302890495271997,0.9851448230603256,0.9383219789427666,0.9527851652154905,0.937799043062201,129.79019655089326,0.91350531107739,0.91350531107739,0.9803242034656232,0.9833985466741196,0.27121951219512197
India,10,0.9796163904107545,0.915691402094043,0.9879786419544402,0.9383219789427666,0.961091478742395,4.54066985645933,129.79019655089326,0.91350531107739,0.9152756702073849,0.9803242034656232,0.986193404136389,0.41024390243902437
India,20,0.9796163904107545,0.9331914766682244,0.9893607501168329,0.9383219789427666,0.9649896171080914,13.144917558775946,129.79019655089326,0.91350531107739,0.9165402124430956,0.9803242034656232,0.9881498043599777,0.47804878048780486
India,50,0.9796163904107545,0.9480963697288483,0.9906831989340864,0.9383219789427666,0.9690334802725054,40.921655020481225,129.79019655089326,0.91350531107739,0.9188163884673748,0.9803242034656232,0.9901062045835662,0.5429268292682927
India,100,0.9796163904107545,0.956687315428901,0.9916178620079347,0.9383219789427666,0.9719844074465372,88.80950741798905,129.79019655089326,0.91350531107739,0.9203338391502276,0.9803242034656232,0.9923420905533817,0.588780487804878
US,5,0.9932015448319796,0.8724120082815735,0.9938684503901896,0.9762017393835741,0.9784214548233325,0.5381626899539297,127.72412844667538,0.8966391883322765,0.8985415345592898,,,0.09809663250366032
US,10,0.9932015448319796,0.9650621118012422,0.9944955406911928,0.9762017393835741,0.9805683927076889,3.3143780512961563,127.72412844667538,0.8966391883322765,0.9044599450433313,,,0.1903367496339678
US,20,0.9932015448319796,0.9739608217869088,0.994933508520465,0.9762017393835741,0.9820603325934282,10.701918448738224,127.72412844667538,0.8966391883322765,0.9105897273303741,,,0.2547584187408492
US,50,0.9932015448319796,0.9811673833412964,0.9955605988214684,0.9762017393835741,0.9843164368108875,36.45028536065461,127.72412844667538,0.8966391883322765,0.9213696892834495,,,0.34699853587115664
US,100,0.9932015448319796,0.9849796942188247,0.9959886128364389,0.9762017393835741,0.9858447654743278,82.48439111600082,127.72412844667538,0.8966391883322765,0.9287677023885014,,,0.40995607613469986
