variant,country,S1,cands,p95,recall,complete,recall_r_indic,recall_r_noaddr,complete_s1_noaddr,build_s,query_s,ms_per_query
r9b_base,US,29086,128.30959911985147,163.0,0.9904941073419334,0.9679050980677559,,0.896427816529275,,572,144,4.965526328276696
r9b_base,India,29051,130.61509070255758,161.0,0.9657853655626374,0.9042223760428431,0.951369480156512,0.91350531107739,,454,135,4.652318254911831
