variant,country,S1,cands,p95,recall,complete,recall_r_indic,recall_r_noaddr,complete_s1_noaddr,build_s,query_s,ms_per_query
r6_arm7_cap20,US,29086,107.47283916660936,127.0,0.9891802038541169,0.9656489938502966,,0.901712111604312,,567,382,13.131150343243853
r6_arm7_cap20,India,29051,108.07352586830058,126.0,0.9378349623648965,0.8505956501147582,0.8587479038569032,0.9241274658573596,,464,378,13.00766633745356
