model Qwen/Qwen3.5-2B on Tesla T4; trainable 16.8M; train 50079 pairs
ep 0 step 200/9389 seen 3200 loss 0.3888 6.2 pairs/s
ep 0 step 400/9389 seen 6400 loss 0.3377 6.3 pairs/s
ep 0 step 600/9389 seen 9600 loss 0.2881 6.4 pairs/s
ep 0 step 800/9389 seen 12800 loss 0.2474 6.4 pairs/s
ep 0 step 1000/9389 seen 16000 loss 0.2287 6.4 pairs/s
ep 0 step 1200/9389 seen 19200 loss 0.2363 6.4 pairs/s
ep 0 step 1400/9389 seen 22400 loss 0.1986 6.5 pairs/s
ep 0 step 1600/9389 seen 25600 loss 0.1955 6.5 pairs/s
ep 0 step 1800/9389 seen 28800 loss 0.2065 6.5 pairs/s
ep 0 step 2000/9389 seen 32000 loss 0.2048 6.5 pairs/s
ep 0 step 2200/9389 seen 35200 loss 0.1970 6.5 pairs/s
ep 0 step 2400/9389 seen 38400 loss 0.1876 6.5 pairs/s
ep 0 step 2600/9389 seen 41600 loss 0.1706 6.5 pairs/s
ep 0 step 2800/9389 seen 44800 loss 0.1816 6.5 pairs/s
ep 0 step 3000/9389 seen 48000 loss 0.1889 6.5 pairs/s
ep 1 step 3200/9389 seen 51199 loss 0.1688 6.5 pairs/s
ep 1 step 3400/9389 seen 54399 loss 0.1346 6.5 pairs/s
ep 1 step 3600/9389 seen 57599 loss 0.1388 6.5 pairs/s
ep 1 step 3800/9389 seen 60799 loss 0.1191 6.5 pairs/s
ep 1 step 4000/9389 seen 63999 loss 0.1193 6.5 pairs/s
ep 1 step 4200/9389 seen 67199 loss 0.1524 6.5 pairs/s
ep 1 step 4400/9389 seen 70399 loss 0.1301 6.5 pairs/s
ep 1 step 4600/9389 seen 73599 loss 0.1254 6.5 pairs/s
ep 1 step 4800/9389 seen 76799 loss 0.1356 6.5 pairs/s
ep 1 step 5000/9389 seen 79999 loss 0.1159 6.5 pairs/s
ep 1 step 5200/9389 seen 83199 loss 0.1213 6.5 pairs/s
ep 1 step 5400/9389 seen 86399 loss 0.1171 6.5 pairs/s
ep 1 step 5600/9389 seen 89599 loss 0.1334 6.5 pairs/s
ep 1 step 5800/9389 seen 92799 loss 0.1368 6.5 pairs/s
ep 1 step 6000/9389 seen 95999 loss 0.1327 6.5 pairs/s
ep 1 step 6200/9389 seen 99199 loss 0.1193 6.5 pairs/s
ep 2 step 6400/9389 seen 102398 loss 0.0795 6.5 pairs/s
ep 2 step 6600/9389 seen 105598 loss 0.0833 6.5 pairs/s
ep 2 step 6800/9389 seen 108798 loss 0.0730 6.5 pairs/s
ep 2 step 7000/9389 seen 111998 loss 0.0759 6.6 pairs/s
ep 2 step 7200/9389 seen 115198 loss 0.0756 6.5 pairs/s
ep 2 step 7400/9389 seen 118398 loss 0.0616 6.6 pairs/s
ep 2 step 7600/9389 seen 121598 loss 0.0763 6.6 pairs/s
ep 2 step 7800/9389 seen 124798 loss 0.0826 6.6 pairs/s
ep 2 step 8000/9389 seen 127998 loss 0.0765 6.6 pairs/s
ep 2 step 8200/9389 seen 131198 loss 0.0697 6.6 pairs/s
ep 2 step 8400/9389 seen 134398 loss 0.0782 6.6 pairs/s
ep 2 step 8600/9389 seen 137598 loss 0.0647 6.6 pairs/s
ep 2 step 8800/9389 seen 140798 loss 0.0789 6.6 pairs/s
ep 2 step 9000/9389 seen 143998 loss 0.0641 6.6 pairs/s
ep 2 step 9200/9389 seen 147198 loss 0.0675 6.6 pairs/s
trained 9389 steps, 150222 pairs (3.00 epochs) in 381.9 min
scored 36219 band pairs in 1327s (27.3 pairs/s)
AUC on B2 band: 0.8993  (21760 pairs)
AUC on C band: 0.8983  (14459 pairs)
